fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,MPW,,"2,859","177,800",177800,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,IXP,,"1,973","39,326",39326,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,AAPL,,"1,709","10,832",10832,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,EXC,,"1,166","25,849",25849,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,TD,,"1,105","22,230",22230,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,VZ,,"1,097","19,518",19518,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,LLY,,"1,018","8,794",8794,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,DIS,,911,"8,308",8308,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,GIS,,869,"22,312",22312,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,INTC,,780,"16,627",16627,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,AVGO,,679,"2,671",2671,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,TRV,,654,"5,458",5458,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,JNJ,,415,"3,218",3218,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,MKC.V,,350,"2,523",2523,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,MX.TO,,305,"6,348",6348,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,EMR,,287,"4,806",4806,,BUY
1 NORTH WEALTH SERVICES LLC,2/6/2019,Q4 2018,XOM,,278,"4,080",4080,,BUY
1 NORTH WEALTH SERVICES LLC,5/8/2019,Q1 2019,MKC.V,,350,"2,523",-2523,-100.0,SELL
